Annee,Remise,Nature_Group,Variable,Moyenne_Ajustee.x,total_ajuste.x,Moyenne_Ajustee.y,total_ajuste.y
2017,T1,Non Vie,FONDS PROPRES,758962278.6,97906133945,753124107.3,97906133945
2017,T1,Vie,FONDS PROPRES,1780624014,1.35327E+11,1780624014,1.35327E+11
2017,T2,Non Vie,FONDS PROPRES,771721175.2,99552031603,765784858.5,99552031603
2017,T2,Vie,FONDS PROPRES,1863414122,1.41619E+11,1863414122,1.41619E+11
2017,T3,Non Vie,FONDS PROPRES,785771395.6,1.01365E+11,779511398.2,1.01336E+11
2017,T3,Vie,FONDS PROPRES,1920577383,1.45964E+11,1922983830,1.46147E+11
2017,T4,Non Vie,FONDS PROPRES,816655959.1,1.06982E+11,809592729.2,1.06866E+11
2017,T4,Vie,FONDS PROPRES,1992079515,1.57374E+11,1993283935,1.57469E+11
2018,T1,Non Vie,FONDS PROPRES,796619942,1.09934E+11,790888863.2,1.09934E+11
2018,T1,Vie,FONDS PROPRES,2092765637,1.61143E+11,2065935309,1.61143E+11
2018,T2,Non Vie,FONDS PROPRES,794026322.6,1.09576E+11,788448366.5,1.09594E+11
2018,T2,Vie,FONDS PROPRES,2118581530,1.63131E+11,2092385589,1.63206E+11
2018,T3,Non Vie,FONDS PROPRES,806956008.8,1.1136E+11,801141297.1,1.11359E+11
2018,T3,Vie,FONDS PROPRES,2140656105,1.64831E+11,2114184121,1.64906E+11
2018,T4,Non Vie,FONDS PROPRES,805213984.5,1.1112E+11,799597328.9,1.11144E+11
2018,T4,Vie,FONDS PROPRES,2047465452,1.57655E+11,2022130777,1.57726E+11
2019,T1,Non Vie,FONDS PROPRES,810248643.1,1.14245E+11,810248643.1,1.14245E+11
2019,T1,Vie,FONDS PROPRES,2030425556,1.56343E+11,2030425556,1.56343E+11
2019,T2,Non Vie,FONDS PROPRES,820026201.5,1.15624E+11,820331575.7,1.15667E+11
2019,T2,Vie,FONDS PROPRES,1955258635,1.50555E+11,1955258635,1.50555E+11
2019,T3,Non Vie,FONDS PROPRES,819901707.2,1.15606E+11,820207035.1,1.15649E+11
2019,T3,Vie,FONDS PROPRES,1870977929,1.44065E+11,1870977929,1.44065E+11
2019,T4,Non Vie,FONDS PROPRES,870875084.9,1.22793E+11,870469849.4,1.22736E+11
2019,T4,Vie,FONDS PROPRES,2639949997,2.03276E+11,2639291782,2.03225E+11
2020,T1,Non Vie,FONDS PROPRES,813549519.7,1.13083E+11,813549519.7,1.13083E+11
2020,T1,Vie,FONDS PROPRES,2434956644,1.87492E+11,2434956644,1.87492E+11
2020,T2,Non Vie,FONDS PROPRES,836367466.9,1.16255E+11,836367466.9,1.16255E+11
2020,T2,Vie,FONDS PROPRES,2464040617,1.89731E+11,2464040617,1.89731E+11
2020,T3,Non Vie,FONDS PROPRES,842326188.7,1.17083E+11,842326188.7,1.17083E+11
2020,T3,Vie,FONDS PROPRES,2427747934,1.86937E+11,2427747934,1.86937E+11
2020,T4,Non Vie,FONDS PROPRES,886540809.4,1.23229E+11,886222489.8,1.23185E+11
2020,T4,Vie,FONDS PROPRES,2614829565,2.01342E+11,2614811899,2.01341E+11
2021,T1,Non Vie,FONDS PROPRES,939799433.3,1.26873E+11,939799433.3,1.26873E+11
2021,T1,Vie,FONDS PROPRES,2731896309,2.1582E+11,2731896309,2.1582E+11
2021,T2,Non Vie,FONDS PROPRES,956916980.9,1.29184E+11,956916980.9,1.29184E+11
2021,T2,Vie,FONDS PROPRES,2790855885,2.20478E+11,2790855885,2.20478E+11
2021,T3,Non Vie,FONDS PROPRES,988901805.4,1.33502E+11,988901805.4,1.33502E+11
2021,T3,Vie,FONDS PROPRES,2803793144,2.215E+11,2804192345,2.21531E+11
2021,T4,Non Vie,FONDS PROPRES,1018226032,1.37461E+11,1019747472,1.37666E+11
2021,T4,Vie,FONDS PROPRES,2860706585,2.25996E+11,2861019781,2.26021E+11
2022,T1,Non Vie,FONDS PROPRES,1067027362,1.37647E+11,1067027362,1.37647E+11
2022,T1,Vie,FONDS PROPRES,2903909646,2.20697E+11,2903909646,2.20697E+11
2022,T2,Non Vie,FONDS PROPRES,1026118348,1.33395E+11,1026118348,1.33395E+11
2022,T2,Vie,FONDS PROPRES,2793272954,2.12289E+11,2794052674,2.12348E+11
2022,T3,Non Vie,FONDS PROPRES,1032743218,1.34257E+11,1032621486,1.34241E+11
2022,T3,Vie,FONDS PROPRES,2645370144,2.01048E+11,2645743827,2.01077E+11
2022,T4,Non Vie,FONDS PROPRES,1076091732,1.39892E+11,1072399795,1.39412E+11
2022,T4,Vie,FONDS PROPRES,2491710108,1.8937E+11,2492028987,1.89394E+11
2023,T1,Non Vie,FONDS PROPRES,1086994921,1.36961E+11,1086994921,1.36961E+11
2023,T1,Vie,FONDS PROPRES,2566515444,1.95055E+11,2566515444,1.95055E+11
2023,T2,Non Vie,FONDS PROPRES,1083340573,1.37584E+11,1083296207,1.37579E+11
2023,T2,Vie,FONDS PROPRES,2590483432,1.96877E+11,2590413136,1.96871E+11
2023,T3,Non Vie,FONDS PROPRES,1093206990,1.38837E+11,1093319106,1.38852E+11
